Name,Type,County,State,Country,Population,Area_sq_mi,Area_sq_km,Population_density_sq_mi,Population_density_sq_km
Superior,Town,Pinal,AZ,USA,"2,837",1.94,5,"1,463.10",564.9
Surprise,City,Maricopa,AZ,USA,"117,517",105.87,274.2,"1,111.30",429.1
Taylor,Town,Navajo,AZ,USA,"4,112",32.67,84.6,125.9,48.6
Tempe,City,Maricopa,AZ,USA,"161,719",40.19,104.1,"4,050.10","1,563.80"
Thatcher,Town,Graham,AZ,USA,"4,865",6.13,15.9,724.6,279.8
Tolleson,City,Maricopa,AZ,USA,"6,545",5.75,14.9,"1,139.20",439.8
Tombstone,City,Cochise,AZ,USA,"1,380",4.31,11.2,319.9,123.5
Tucson,City,Pima,AZ,USA,"520,116",227.03,588,"2,294.20",885.8
Tusayan,Town,Coconino,AZ,USA,558,8.91,23.1,62.6,24.2
Wellton,Town,Yuma,AZ,USA,"2,882",28.93,74.9,99.6,38.5
Wickenburg,Town,Maricopa,AZ,USA,"6,363",18.77,48.6,339.1,130.9
Willcox,City,Cochise,AZ,USA,"3,757",6.28,16.3,611,235.9
Williams,City,Coconino,AZ,USA,"3,023",43.79,113.4,69.6,26.9
Winkelman,Town,Gila,AZ,USA,353,0.75,1.9,473.9,183
Winslow,City,Navajo,AZ,USA,"9,655",12.35,32,785.1,303.1
Youngtown,Town,Maricopa,AZ,USA,"6,156",1.54,4,"4,016.10","1,550.60"
Yuma,City,Yuma,AZ,USA,"93,064",120.41,311.9,773.7,298.7
